true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,stage,regime
0.1,102.99,0.5385,,0.5238866764169844,tao_realistic_floor,gaussian
0.1,102.99,0.5224,,0.5284336889080229,tao_realistic_floor,fat_tailed
0.05,102.99,0.49435,,0.506281630784919,tao_realistic_floor,gaussian
0.05,102.99,0.47365,,0.5036077387038967,tao_realistic_floor,fat_tailed
0.02,102.99,0.47845,,0.4999451970169366,tao_realistic_floor,gaussian
0.02,102.99,0.45405,,0.49476155845387904,tao_realistic_floor,fat_tailed
0.01,102.99,0.47405,,0.498115583956302,tao_realistic_floor,gaussian
0.01,102.99,0.449,,0.49241145065455666,tao_realistic_floor,fat_tailed
0.0,102.99,0.46895,,0.4963410170390149,tao_realistic_floor,gaussian
0.0,102.99,0.4429,,0.49012988273322516,tao_realistic_floor,fat_tailed
0.5,167.39,1.0,,0.993345944541931,tao_realistic_floor,gaussian
0.5,167.39,0.99995,,0.9767281951630165,tao_realistic_floor,fat_tailed
0.3,167.39,0.97285,,0.8660885101155389,tao_realistic_floor,gaussian
0.3,167.39,0.9653,,0.851074415510178,tao_realistic_floor,fat_tailed
0.2,167.39,0.8166,,0.6858682149578775,tao_realistic_floor,gaussian
0.2,167.39,0.81705,,0.6939074710520656,tao_realistic_floor,fat_tailed
0.15,167.39,0.6878,,0.6003029133236484,tao_realistic_floor,gaussian
0.15,167.39,0.68865,,0.6096310992761818,tao_realistic_floor,fat_tailed
0.1,167.39,0.5761,,0.5412958773060742,tao_realistic_floor,gaussian
0.1,167.39,0.5671,,0.5452737887981972,tao_realistic_floor,fat_tailed
0.05,167.39,0.50785,,0.5110343810189123,tao_realistic_floor,gaussian
0.05,167.39,0.4899,,0.5097346905704818,tao_realistic_floor,fat_tailed
0.02,167.39,0.4826,,0.5014760690075841,tao_realistic_floor,gaussian
0.02,167.39,0.4644,,0.4988271574061604,tao_realistic_floor,fat_tailed
0.01,167.39,0.4748,,0.49890626405465555,tao_realistic_floor,gaussian
0.01,167.39,0.4574,,0.4959697324507147,tao_realistic_floor,fat_tailed
0.0,167.39,0.46975,,0.4964357129975269,tao_realistic_floor,gaussian
0.0,167.39,0.45135,,0.4932602098222597,tao_realistic_floor,fat_tailed
0.5,306.02,1.0,,0.9998852859143909,tao_realistic_floor,gaussian
0.5,306.02,1.0,,0.9982236643531782,tao_realistic_floor,fat_tailed
0.3,306.02,0.99925,,0.9686366458459983,tao_realistic_floor,gaussian
0.3,306.02,0.9984,,0.9547322864516861,tao_realistic_floor,fat_tailed
0.2,306.02,0.9461,,0.820398108534275,tao_realistic_floor,gaussian
0.2,306.02,0.9421,,0.8157670759493436,tao_realistic_floor,fat_tailed
0.15,306.02,0.82715,,0.6925904940816917,tao_realistic_floor,gaussian
0.15,306.02,0.8207,,0.6959981666773328,tao_realistic_floor,fat_tailed
0.1,306.02,0.65465,,0.5805247551786928,tao_realistic_floor,gaussian
0.1,306.02,0.6451,,0.5830260787080799,tao_realistic_floor,fat_tailed
0.05,306.02,0.5319,,0.5196752011804917,tao_realistic_floor,gaussian
0.05,306.02,0.51,,0.5169050034133277,tao_realistic_floor,fat_tailed
0.02,306.02,0.491,,0.5040288250889108,tao_realistic_floor,gaussian
0.02,306.02,0.46905,,0.4998339384933486,tao_realistic_floor,fat_tailed
0.01,306.02,0.48185,,0.5005075644644749,tao_realistic_floor,gaussian
0.01,306.02,0.4599,,0.49611573870059017,tao_realistic_floor,fat_tailed
0.0,306.02,0.4729,,0.4973054875827694,tao_realistic_floor,gaussian
0.0,306.02,0.4515,,0.4927516936675167,tao_realistic_floor,fat_tailed
0.5,342.78,1.0,,0.9999647742066687,tao_realistic_floor,gaussian
0.5,342.78,1.0,,0.9991249625459524,tao_realistic_floor,fat_tailed
0.3,342.78,0.99975,,0.9790272725246388,tao_realistic_floor,gaussian
0.3,342.78,0.99975,,0.9674183062514671,tao_realistic_floor,fat_tailed
0.2,342.78,0.9618,,0.8465135207724452,tao_realistic_floor,gaussian
0.2,342.78,0.9605,,0.8403786623812812,tao_realistic_floor,fat_tailed
0.15,342.78,0.84885,,0.7141559254225447,tao_realistic_floor,gaussian
0.15,342.78,0.85015,,0.7161006273777297,tao_realistic_floor,fat_tailed
0.1,342.78,0.67005,,0.5895643841907545,tao_realistic_floor,gaussian
0.1,342.78,0.66055,,0.5899481843130634,tao_realistic_floor,fat_tailed
0.05,342.78,0.53085,,0.5209931589388376,tao_realistic_floor,gaussian
0.05,342.78,0.51165,,0.5167650876143786,tao_realistic_floor,fat_tailed
0.02,342.78,0.4886,,0.5039155678672118,tao_realistic_floor,gaussian
0.02,342.78,0.46785,,0.4977525689729842,tao_realistic_floor,fat_tailed
0.01,342.78,0.4778,,0.5001435402572036,tao_realistic_floor,gaussian
0.01,342.78,0.458,,0.49365958803448423,tao_realistic_floor,fat_tailed
0.0,342.78,0.46915,,0.49674132020103323,tao_realistic_floor,gaussian
0.0,342.78,0.4468,,0.48997838581029557,tao_realistic_floor,fat_tailed
0.5,355.01,1.0,,0.9999744394160707,tao_realistic_floor,gaussian
0.5,355.01,1.0,,0.9993247563573056,tao_realistic_floor,fat_tailed
0.3,355.01,0.9998,,0.9816820271553386,tao_realistic_floor,gaussian
0.3,355.01,0.99955,,0.9713267640557398,tao_realistic_floor,fat_tailed
0.2,355.01,0.96665,,0.8558107259312404,tao_realistic_floor,gaussian
0.2,355.01,0.9665,,0.8492557999543209,tao_realistic_floor,fat_tailed
0.15,355.01,0.86215,,0.7230080352485675,tao_realistic_floor,gaussian
0.15,355.01,0.8595,,0.724261983424981,tao_realistic_floor,fat_tailed
0.1,355.01,0.6739,,0.5930374819450656,tao_realistic_floor,gaussian
0.1,355.01,0.6706,,0.5958592419613997,tao_realistic_floor,fat_tailed
0.05,355.01,0.52765,,0.5208123848240315,tao_realistic_floor,gaussian
0.05,355.01,0.52395,,0.5206090523188587,tao_realistic_floor,fat_tailed
0.02,355.01,0.48345,,0.5031396254259073,tao_realistic_floor,gaussian
0.02,355.01,0.476,,0.5018032454054187,tao_realistic_floor,fat_tailed
0.01,355.01,0.47445,,0.49942659331518224,tao_realistic_floor,gaussian
0.01,355.01,0.46605,,0.49783458731539987,tao_realistic_floor,fat_tailed
0.0,355.01,0.4644,,0.49603697476923053,tao_realistic_floor,gaussian
0.0,355.01,0.45745,,0.4941814996386588,tao_realistic_floor,fat_tailed
